meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
13th FINA World Championships 2009,01:42.00,28/07/2009,Men 200 Freestyle LCM Male,GER,Germany,"BIEDERMANN, Paul",M,07/08/1986,,,1,1,,Rome,ITA
13th FINA World Championships 2009,01:42.81,31/07/2009,Men 200 Freestyle LCM Male,GER,Germany,"BIEDERMANN, Paul",M,07/08/1986,,,2,2,,Rome,ITA
Olympic Games Beijing 2008,01:42.96,12/08/2008,Men 200 Freestyle LCM Male,USA,United States of America,"PHELPS, Michael",M,30/06/1985,,,3,3,1062,Beijing,CHN
Olympic Games London 2012,01:43.14,30/07/2012,Men 200 Freestyle LCM Male,FRA,France,"AGNEL, Yannick",M,09/06/1992,,,4,4,967,London,GBR
19th FINA World Championships Budapest 2022,01:43.21,20/06/2022,Men 200 Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,15/09/2004,,,5,5,965,Budapest,HUN
13th FINA World Championships 2009,01:43.22,28/07/2009,Men 200 Freestyle LCM Male,USA,United States of America,"PHELPS, Michael",M,30/06/1985,,,6,6,,Rome,ITA
Olympic Games Beijing 2008,01:43.31,13/08/2008,Men 200 Freestyle LCM Male,USA,United States of America,"PHELPS, Michael",M,30/06/1985,,,7,7,1051,Beijing,CHN
13th FINA World Championships 2009,01:43.65,27/07/2009,Men 200 Freestyle LCM Male,GER,Germany,"BIEDERMANN, Paul",M,07/08/1986,,,8,8,,Rome,ITA
12th FINA World Championships 2007,01:43.86,27/03/2007,Men 200 Freestyle LCM Male,USA,United States of America,"PHELPS, Michael",M,30/06/1985,,,9,9,,Melbourne,AUS
13th FINA World Championships 2009,01:43.90,28/07/2009,Men 200 Freestyle LCM Male,RUS,Russian Federation,"IZOTOV, Danila",M,02/10/1991,,,10,10,,Rome,ITA
13th FINA World Championships 2009,01:44.02,31/07/2009,Men 200 Freestyle LCM Male,GER,Germany,"BIEDERMANN, Paul",M,07/08/1986,,,11,11,,Rome,ITA
9th FINA World Championships 2001,01:44.06,25/07/2001,Men 200 Freestyle LCM Male,AUS,Australia,"THORPE, Ian",M,13/10/1982,,,12,12,,Fukuoka,JPN
15th FINA World Championships 2013,01:44.20,30/07/2013,Men 200 Freestyle LCM Male,FRA,France,"AGNEL, Yannick",M,09/06/1992,,,13,13,937,Barcelona,ESP
Olympic Games Tokyo 2020,01:44.22,27/07/2021,Men 200 Freestyle LCM Male,GBR,Great Britain,"DEAN, Tom",M,02/05/2000,,,14,14,937,Tokyo,JPN
Olympic Games Tokyo 2020,01:44.26,27/07/2021,Men 200 Freestyle LCM Male,GBR,Great Britain,"SCOTT, Duncan",M,06/05/1997,,,15,15,936,Tokyo,JPN
FINA Swimming World Cup 2019,01:44.38,17/08/2019,Men 200 Freestyle LCM Male,LTU,Lithuania,"RAPSYS, Danas",M,21/05/1995,,,16,16,933,Singapore,SGP
17th FINA World Championships 2017,01:44.39,25/07/2017,Men 200 Freestyle LCM Male,CHN,People's Republic of China,"SUN, Yang",M,01/12/1991,,,17,17,932,Budapest,HUN
19th FINA World Championships Budapest 2022,01:44.40,19/06/2022,Men 200 Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,15/09/2004,,,18,18,932,Budapest,HUN
French National Championships (50m),01:44.42,18/03/2012,Men 200 Freestyle LCM Male,FRA,France,"AGNEL, Yannick",M,09/06/1992,,,19,19,932,Dunkerke,FRA
14th FINA World Championships 2011,01:44.44,26/07/2011,Men 200 Freestyle LCM Male,USA,United States of America,"LOCHTE, Ryan",M,03/08/1984,,,20,20,931,Shanghai,CHN
19th FINA World Championships Budapest 2022,01:44.47,20/06/2022,Men 200 Freestyle LCM Male,KOR,Republic of Korea,"HWANG, Sunwoo",M,21/05/2003,,,21,21,930,Budapest,HUN
British National Swimming Championships (50m),01:44.47,18/04/2021,Men 200 Freestyle LCM Male,GBR,Great Britain,"SCOTT, Duncan",M,06/05/1997,,,21,22,930,London,GBR
Chinese National Championships (50m),01:44.47,04/09/2013,Men 200 Freestyle LCM Male,CHN,People's Republic of China,"SUN, Yang",M,01/12/1991,,,21,23,930,Shenyang ,CHN
13th FINA World Championships 2009,01:44.49,31/07/2009,Men 200 Freestyle LCM Male,USA,United States of America,"PHELPS, Michael",M,30/06/1985,,,24,24,,Rome,ITA
British National Swimming Championships (50m),01:44.58,18/04/2021,Men 200 Freestyle LCM Male,GBR,Great Britain,"DEAN, Tom",M,02/05/2000,,,25,25,927,London,GBR
Olympic Games Tokyo 2020,01:44.60,26/07/2021,Men 200 Freestyle LCM Male,GBR,Great Britain,"SCOTT, Duncan",M,06/05/1997,,,26,26,927,Tokyo,JPN
Olympic Games Tokyo 2020,01:44.62,25/07/2021,Men 200 Freestyle LCM Male,KOR,Republic of Korea,"HWANG, Sunwoo",M,21/05/2003,,,27,27,926,Tokyo,JPN
Olympic Games Rio 2016,01:44.63,07/08/2016,Men 200 Freestyle LCM Male,CHN,People's Republic of China,"SUN, Yang",M,01/12/1991,,,28,28,926,Rio de Janeiro,BRA
Japan National Championships (50m),01:44.65,05/04/2021,Men 200 Freestyle LCM Male,JPN,Japan,"MATSUMOTO, Katsuhiro",M,28/02/1997,,,29,29,925,Tokyo,JPN
Olympic Games Rio 2016,01:44.65,08/08/2016,Men 200 Freestyle LCM Male,CHN,People's Republic of China,"SUN, Yang",M,01/12/1991,,,29,30,925,Rio de Janeiro,BRA
Olympic Games Tokyo 2020,01:44.66,27/07/2021,Men 200 Freestyle LCM Male,BRA,Brazil,"SCHEFFER, Fernando",M,06/04/1998,,,31,31,925,Tokyo,JPN
Olympic Games Tokyo 2020,01:44.68,27/07/2021,Men 200 Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,15/09/2004,,,32,32,925,Tokyo,JPN
2001 Australian Championships & World Championship Trials,01:44.69,27/03/2001,Men 200 Freestyle LCM Male,AUS,Australia,"THORPE, Ian",M,13/10/1982,,,33,33,,Hobart,AUS
Olympic Games Athens 2004,01:44.71,16/08/2004,Men 200 Freestyle LCM Male,AUS,Australia,"THORPE, Ian",M,13/10/1982,,,34,34,,Athens,GRE
17th Commonwealth Games 2002,01:44.71,31/07/2002,Men 200 Freestyle LCM Male,AUS,Australia,"THORPE, Ian",M,13/10/1982,,,34,35,,Manchester,GBR
Olympic Games Tokyo 2020,01:44.74,28/07/2021,Men 200 Freestyle LCM Male,USA,United States of America,"SMITH, Kieran",M,20/05/2000,,,36,36,923,Tokyo,JPN
9th Pan Pacific Championships 2002,01:44.75,26/08/2002,Men 200 Freestyle LCM Male,AUS,Australia,"THORPE, Ian",M,13/10/1982,,,37,37,,Yokohama,JPN
European Championships 2021,01:44.79,21/05/2021,Men 200 Freestyle LCM Male,RUS,Russian Federation,"MALYUTIN, Martin",M,05/07/1999,,,38,38,922,Budapest,HUN
14th FINA World Championships 2011,01:44.79,26/07/2011,Men 200 Freestyle LCM Male,USA,United States of America,"PHELPS, Michael",M,30/06/1985,,,38,39,922,Shanghai,CHN
16th Asian Games 2010,01:44.80,14/11/2010,Men 200 Freestyle LCM Male,KOR,Republic of Korea,"PARK, Taehwan",M,27/09/1989,,,40,40,921,Guangzhou,CHN
Arena Pro Swim Series Santa Clara 2016,01:44.82,03/06/2016,Men 200 Freestyle LCM Male,CHN,People's Republic of China,"SUN, Yang",M,01/12/1991,,,41,41,921,Santa Clara,USA
Olympic Games Beijing 2008,01:44.85,12/08/2008,Men 200 Freestyle LCM Male,KOR,Republic of Korea,"PARK, Taehwan",M,27/09/1989,,,42,42,1006,Beijing,CHN
27th Summer Universiade 2013,01:44.87,15/07/2013,Men 200 Freestyle LCM Male,RUS,Russian Federation,"IZOTOV, Danila",M,02/10/1991,,,43,43,920,Kazan,RUS
14th FINA World Championships 2011,01:44.88,26/07/2011,Men 200 Freestyle LCM Male,GER,Germany,"BIEDERMANN, Paul",M,07/08/1986,,,44,44,919,Shanghai,CHN
European Championships 2002,01:44.89,02/08/2002,Men 200 Freestyle LCM Male,NED,Netherlands,"VAN DEN HOOGENBAND, Pieter",M,14/03/1978,,,45,45,,Berlin,GER
18th FINA World Championships 2019,01:44.90,22/07/2019,Men 200 Freestyle LCM Male,AUS,Australia,"LEWIS, Clyde",M,25/09/1997,,,46,46,919,Gwangju,KOR
18th FINA World Championships 2019,01:44.91,26/07/2019,Men 200 Freestyle LCM Male,GBR,Great Britain,"SCOTT, Duncan",M,06/05/1997,,,47,47,919,Gwangju,KOR
National Chinese Championships (50m),01:44.91,08/04/2017,Men 200 Freestyle LCM Male,CHN,People's Republic of China,"SUN, Yang",M,01/12/1991,,,47,48,919,Qingdae,CHN
14th FINA World Championships 2011,01:44.92,26/07/2011,Men 200 Freestyle LCM Male,KOR,Republic of Korea,"PARK, Taehwan",M,27/09/1989,,,49,49,918,Shanghai,CHN
18th FINA World Championships 2019,01:44.93,23/07/2019,Men 200 Freestyle LCM Male,CHN,People's Republic of China,"SUN, Yang",M,01/12/1991,,,50,50,918,Gwangju,KOR
Olympic Games London 2012,01:44.93,30/07/2012,Men 200 Freestyle LCM Male,CHN,People's Republic of China,"SUN, Yang",M,01/12/1991,,,50,51,918,London,GBR
Olympic Games London 2012,01:44.93,30/07/2012,Men 200 Freestyle LCM Male,KOR,Republic of Korea,"PARK, Taehwan",M,27/09/1989,,,50,52,918,London,GBR
13th FINA World Championships 2009,01:44.95,31/07/2009,Men 200 Freestyle LCM Male,USA,United States of America,"BERENS, Richard",M,21/04/1988,,,53,53,,Rome,ITA
Korean National Trials 2021,01:44.96,15/05/2021,Men 200 Freestyle LCM Male,KOR,Republic of Korea,"HWANG, Sunwoo",M,21/05/2003,,,54,54,917,Jeju,KOR
