meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
17th FINA World Championships 2017,01:04.13,25/07/2017,Women 100 Breaststroke LCM Female,USA,United States of America,"KING, Lilly",F,10/02/1997,,,1,1,1010,Budapest,HUN
15th FINA World Championships 2013,01:04.35,29/07/2013,Women 100 Breaststroke LCM Female,LTU,Lithuania,"MEILUTYTE, Ruta",F,19/03/1997,,,2,2,1004,Barcelona,ESP
17th FINA World Championships 2017,01:04.36,24/07/2017,Women 100 Breaststroke LCM Female,RUS,Russian Federation,"EFIMOVA, Yuliya",F,03/04/1992,,,3,3,999,Budapest,HUN
15th FINA World Championships 2013,01:04.42,30/07/2013,Women 100 Breaststroke LCM Female,LTU,Lithuania,"MEILUTYTE, Ruta",F,19/03/1997,,,4,4,1001,Barcelona,ESP
US Open 2009,01:04.45,07/08/2009,Women 100 Breaststroke LCM Female,USA,United States of America,"HARDY, Jessica",F,12/03/1987,,,5,5,,Federal Way,USA
15th FINA World Championships 2013,01:04.52,29/07/2013,Women 100 Breaststroke LCM Female,LTU,Lithuania,"MEILUTYTE, Ruta",F,19/03/1997,,,6,6,996,Barcelona,ESP
17th FINA World Championships 2017,01:04.53,24/07/2017,Women 100 Breaststroke LCM Female,USA,United States of America,"KING, Lilly",F,10/02/1997,,,7,7,991,Budapest,HUN
US Olympic Team Trials - Wave II,01:04.72,14/06/2021,Women 100 Breaststroke LCM Female,USA,United States of America,"KING, Lilly",F,10/02/1997,,,8,8,972,Omaha,USA
US Olympic Team Trials - Wave II,01:04.79,15/06/2021,Women 100 Breaststroke LCM Female,USA,United States of America,"KING, Lilly",F,10/02/1997,,,9,9,969,Omaha,USA
Olympic Games Tokyo 2020,01:04.82,25/07/2021,Women 100 Breaststroke LCM Female,RSA,South Africa,"SCHOENMAKER, Tatjana",F,09/07/1997,,,10,10,968,Tokyo,JPN
Mare Nostrum -  Meeting International de Canet-en-Roussillon 2017,01:04.82,17/06/2017,Women 100 Breaststroke LCM Female,RUS,Russian Federation,"EFIMOVA, Yuliya",F,03/04/1992,,,10,11,978,Canet-en-Roussillon,FRA
13th FINA World Championships 2009,01:04.84,27/07/2009,Women 100 Breaststroke LCM Female,USA,United States of America,"SONI, Rebecca",F,18/03/1987,,,12,12,,Rome,ITA
14th FINA World Championships 2011,01:04.91,25/07/2011,Women 100 Breaststroke LCM Female,USA,United States of America,"SONI, Rebecca",F,18/03/1987,,,13,13,978,Shanghai,CHN
18th FINA World Championships 2019,01:04.93,23/07/2019,Women 100 Breaststroke LCM Female,USA,United States of America,"KING, Lilly",F,10/02/1997,,,14,14,963,Gwangju,KOR
