meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
18th Asian Games 2018,26.98,21/08/2018,Women 50 Backstroke LCM Female,CHN,People's Republic of China,"LIU, Xiang",F,01/09/1996,,,1,1,1008,Jakarta,INA
13th FINA World Championships 2009,27.06,30/07/2009,Women 50 Backstroke LCM Female,CHN,People's Republic of China,"ZHAO, Jing",F,31/12/1990,,,2,2,,Rome,ITA
Eindhoven Qualification Meet,27.10,10/04/2021,Women 50 Backstroke LCM Female,NED,Netherlands,"TOUSSAINT, Kira",F,22/05/1994,,,3,3,986,Eindhoven,NED
16th FINA World Championships 2015,27.11,06/08/2015,Women 50 Backstroke LCM Female,CHN,People's Republic of China,"FU, Yuanhui",F,07/01/1996,,,4,4,994,Kazan,RUS
Phillips 66 International Team Trials 2022,27.12,28/04/2022,Women 50 Backstroke LCM Female,USA,United States of America,"BERKOFF, Katharine",F,28/01/2001,,,5,5,984,Greensboro,USA
17th FINA World Championships 2017,27.14,27/07/2017,Women 50 Backstroke LCM Female,BRA,Brazil,"MEDEIROS, Etiene",F,24/05/1991,,,6,6,991,Budapest,HUN
17th FINA World Championships 2017,27.15,27/07/2017,Women 50 Backstroke LCM Female,CHN,People's Republic of China,"FU, Yuanhui",F,07/01/1996,,,7,7,990,Budapest,HUN
Sydney Open 2021,27.16,15/05/2021,Women 50 Backstroke LCM Female,AUS,Australia,"MCKEOWN, Kaylee",F,12/07/2001,,,8,8,980,Sydney,AUS
Chinese Nationals,27.16,13/04/2018,Women 50 Backstroke LCM Female,CHN,People's Republic of China,"FU, Yuanhui",F,07/01/1996,,,8,9,988,Shanxi,CHN
Chinese National Championships (50m),27.16,13/04/2018,Women 50 Backstroke LCM Female,CHN,People's Republic of China,"FU, Yuanhui",F,07/01/1996,,,8,10,988,Taiyuan,CHN
Canadian Swimming Trials 2022,27.18,06/04/2022,Women 50 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,18/01/1996,,,11,11,978,Victoria,CAN
Eindhoven Qualification Meet,27.18,10/04/2021,Women 50 Backstroke LCM Female,NED,Netherlands,"TOUSSAINT, Kira",F,22/05/1994,,,11,12,978,Eindhoven,NED
17th FINA World Championships 2017,27.18,26/07/2017,Women 50 Backstroke LCM Female,BRA,Brazil,"MEDEIROS, Etiene",F,24/05/1991,,,11,13,986,Budapest,HUN
16th FINA World Championships 2015,27.18,05/08/2015,Women 50 Backstroke LCM Female,CHN,People's Republic of China,"FU, Yuanhui",F,07/01/1996,,,11,14,986,Kazan,RUS
European Championships 2021,27.19,18/05/2021,Women 50 Backstroke LCM Female,GBR,Great Britain,"DAWSON, Kathleen",F,03/10/1997,,,15,15,977,Budapest,HUN
17th FINA World Championships 2017,27.19,26/07/2017,Women 50 Backstroke LCM Female,CHN,People's Republic of China,"FU, Yuanhui",F,07/01/1996,,,15,16,985,Budapest,HUN
European Championships 2018,27.21,04/08/2018,Women 50 Backstroke LCM Female,GBR,Great Britain,"DAVIES, Georgia",F,11/10/1990,,,17,17,983,Glasgow,GBR
17th FINA World Championships 2017,27.21,26/07/2017,Women 50 Backstroke LCM Female,CHN,People's Republic of China,"FU, Yuanhui",F,07/01/1996,,,17,18,983,Budapest,HUN
19th FINA World Championships Budapest 2022,27.22,21/06/2022,Women 50 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,18/01/1996,,,19,19,973,Budapest,HUN
European Championships 2021,27.22,18/05/2021,Women 50 Backstroke LCM Female,NED,Netherlands,"TOUSSAINT, Kira",F,22/05/1994,,,19,20,973,Budapest,HUN
Chinese National Championships (50m),27.22,01/04/2013,Women 50 Backstroke LCM Female,CHN,People's Republic of China,"FU, Yuanhui",F,07/01/1996,,,19,21,982,Zhengzhou,CHN
European Championships 2018,27.23,05/08/2018,Women 50 Backstroke LCM Female,GBR,Great Britain,"DAVIES, Georgia",F,11/10/1990,,,22,22,981,Glasgow,GBR
European Championships 2018,27.23,04/08/2018,Women 50 Backstroke LCM Female,RUS,Russian Federation,"FESIKOVA, Anastasiia",F,08/05/1990,,,22,23,981,Glasgow,GBR
17th FINA World Championships 2017,27.23,27/07/2017,Women 50 Backstroke LCM Female,BLR,Belarus,"HERASIMENIA, Aliaksandra",F,31/12/1985,,,22,24,981,Budapest,HUN
13th FINA World Championships 2009,27.23,30/07/2009,Women 50 Backstroke LCM Female,GER,Germany,"SAMULSKI, Daniela",F,31/05/1984,,,22,25,,Rome,ITA
Phillips 66 International Team Trials 2022,27.25,28/04/2022,Women 50 Backstroke LCM Female,USA,United States of America,"SMITH, Regan",F,09/02/2002,,,26,26,970,Greensboro,USA
19th FINA World Championships Budapest 2022,27.26,21/06/2022,Women 50 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,18/01/1996,,,27,27,969,Budapest,HUN
16th FINA World Championships 2015,27.26,06/08/2015,Women 50 Backstroke LCM Female,BRA,Brazil,"MEDEIROS, Etiene",F,24/05/1991,,,27,28,978,Kazan,RUS
13th FINA World Championships 2009,27.28,30/07/2009,Women 50 Backstroke LCM Female,CHN,People's Republic of China,"GAO, Chang",F,29/01/1987,,,29,29,,Rome,ITA
19th FINA World Championships Budapest 2022,27.29,21/06/2022,Women 50 Backstroke LCM Female,USA,United States of America,"SMITH, Regan",F,09/02/2002,,,30,30,966,Budapest,HUN
19th FINA World Championships Budapest 2022,27.29,21/06/2022,Women 50 Backstroke LCM Female,FRA,France,"PIGREE, Analia",F,31/07/2001,,,30,31,966,Budapest,HUN
European Championships 2021,27.29,18/05/2021,Women 50 Backstroke LCM Female,GBR,Great Britain,"DAWSON, Kathleen",F,03/10/1997,,,30,32,966,Budapest,HUN
15th FINA World Championships 2013,27.29,01/08/2013,Women 50 Backstroke LCM Female,CHN,People's Republic of China,"ZHAO, Jing",F,31/12/1990,,,30,33,974,Barcelona,ESP
19th FINA World Championships Budapest 2022,27.31,22/06/2022,Women 50 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,18/01/1996,,,34,34,964,Budapest,HUN
European Championships 2018,27.31,05/08/2018,Women 50 Backstroke LCM Female,RUS,Russian Federation,"FESIKOVA, Anastasiia",F,08/05/1990,,,34,35,972,Glasgow,GBR
13th FINA World Championships 2009,27.31,30/07/2009,Women 50 Backstroke LCM Female,RUS,Russian Federation,"ZUEVA, Anastasia",F,08/05/1990,,,34,36,,Rome,ITA
Phillips 66 International Team Trials 2022,27.33,28/04/2022,Women 50 Backstroke LCM Female,USA,United States of America,"SMOLIGA, Olivia",F,12/10/1994,,,37,37,962,Greensboro,USA
18th FINA World Championships 2019,27.33,25/07/2019,Women 50 Backstroke LCM Female,USA,United States of America,"SMOLIGA, Olivia",F,12/10/1994,,,37,38,962,Gwangju,KOR
FINA Swimming World Cup 2019,27.35,08/08/2019,Women 50 Backstroke LCM Female,CHN,People's Republic of China,"LIU, Xiang",F,01/09/1996,,,39,39,959,Jinan,CHN
European Championships 2021,27.36,19/05/2021,Women 50 Backstroke LCM Female,NED,Netherlands,"TOUSSAINT, Kira",F,22/05/1994,,,40,40,958,Budapest,HUN
FINA Champions Swim Series 2020,27.36,14/01/2020,Women 50 Backstroke LCM Female,CHN,People's Republic of China,"LIU, Xiang",F,01/09/1996,,,40,41,958,Shenzen,CHN
Maria Lenk / Brazil Trophy,27.36,20/04/2019,Women 50 Backstroke LCM Female,BRA,Brazil,"MEDEIROS, Etiene",F,24/05/1991,,,40,42,958,Rio de Janeiro,BRA
National Chinese Championships (50m),27.36,08/04/2017,Women 50 Backstroke LCM Female,CHN,People's Republic of China,"FU, Yuanhui",F,07/01/1996,,,40,43,967,Qingdae,CHN
Rotterdam Qualification Meet,27.37,04/12/2020,Women 50 Backstroke LCM Female,NED,Netherlands,"TOUSSAINT, Kira",F,22/05/1994,,,44,44,957,Rotterdam,NED
